ID	語形	品詞	燐字	意味	関連語	関連語ID	関連語タグ	同根語	関連する理語	例文	備考	799
838	aiki	名詞	光男	（人名）	aika, uki	19, 692	派生関係；派生関係					
839	sam	副詞	急	早く、さっさと、急いで	sami	579	派生関係				語源意識によりsamとつづられるが、発音は/zã/である。	
840	kaisa hiya	間投詞	心善	ありがとう	kaisa, hiya	330, 256	派生関係；派生関係	hia1 kait.pk		tauhim tuine kaisa hiyar. 「手紙をくれてありがとう」		
841	vaoa	動詞		祝う、祝福する								
842	sira ki hiyar iwa lutwu hanu mohor	動詞	心古行新	温故知新、「古きを心いて新しきへ行く」								
843	sauja	形容詞	上	先の、前回の	sau	584	派生関係					
844	utuja	形容詞	下	後の、次回の	utu	700	派生関係					
845	-moo	接尾辞	行	外へ、向こう側へ	moho	439	同根語					
846	-sakka	接尾辞	来	内へ、こちら側へ	sakika	577	同根語					
847	bliblo	名詞；形容詞	地心	文化；文化的な、文化の								
848	geda	動詞		歩く								
849	umua	名詞；動詞	船	船；運ぶ				muak1.pk				
850	umuamoo	動詞	船行	送り出す、輸出する	umua, -moo	849, 845	派生関係；派生関係					
851	umuasakka	動詞	船来	運び入れる、輸入する	umua, -sakka	849, 846	派生関係；派生関係					
852	kitua	名詞		明かり、たいまつ								
853	-ngau	接尾辞	刀	道具などを表す				gau2.pk			燐字は刀があてられているが、「かたな」とは同音の別語であると考えられている。	
854	utuingau	名詞	遊刀	おもちゃ	utui, -ngau	701, 853	派生関係；派生関係	tu2 gau2.pk				
855	anawasuka	名詞	全人	皆さん	anau, asuka	45, 50	派生関係；派生関係					
